OFFGAS SYSTEM LOGS
============================================================

[2026-05-07T16:49:10.183681] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=164 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:49:15.184099] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=164 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:49:20.192017] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:49:25.191033] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:49:30.192693] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=165 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:49:35.196728] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:49:40.234673] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=164 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:49:45.219758] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=164 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:49:50.244365] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:49:55.216013] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=165 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:50:00.256078] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:50:05.228731] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:50:10.263498] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:50:15.232485] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:50:20.201810] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=165 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:50:25.242935] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:50:30.211377] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:50:35.253106] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:50:40.225903] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=164 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:50:45.265333] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:50:50.236812] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=164 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:50:55.275281] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:51:00.245204] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:51:05.271442] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=160 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:51:10.249932] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=165 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:51:15.285898] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=165 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:51:20.258150] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:51:25.298366] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:51:30.273535] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:51:35.304491] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=166 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:51:40.273703] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=165 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:51:45.306063] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:51:50.364184] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=164 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:51:55.314869] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:52:00.358460] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:52:05.335128] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=166 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:52:10.335338] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=161 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:52:15.326562] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=163 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:52:20.366071] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
[2026-05-07T16:52:25.339607] EVENT=TELEMETRY_SENT | GARAGE=G1 | GAS=162 | TOPIC=garages/G1/telemetry | STATUS=INFO
